sku,naam,set,soort,aantal,staat,hoes,inkoop,prijs,gewicht_g,hoogtepunten,publiek,notitie
BC-PE-PCETB,Prismatic Evolutions Pokémon Center Elite Trainer Box,prismatic-evolutions,ETB,9,sealed,ja,541,599,1200,11 booster packs|1 full-art foil promo van Eevee met Pokémon Center-logo|1 full-art foil promo van Eevee|65 sleeves met Eevee als Stellar Tera Pokémon|45 energiekaarten,"Dit is de Pokémon Center-uitvoering: elf packs en twee Eevee-promos, tegen negen packs en één promo bij de gewone Elite Trainer Box. Daar zit het verschil in prijs.","Aantal en inkoop komen uit de voorbeeldregel van de invullijst, die Bram heeft overschreven met echte cijfers."
BC-PE-SPC,Prismatic Evolutions Super Premium Collection,prismatic-evolutions,Premium Collection,5,sealed,nee,260,269.95,,15 booster packs|1 exclusieve full-art foil promokaart van Eevee|1 pluche Eevee-deckbox|1 speelmat met artwork van Eevee en al zijn evoluties,,"Fotogroep 6 en 7 zijn hetzelfde artikel van twee kanten; beide zijn niet uit te snijden (lichte doos, het Eevee-artwork leest als achtergrond) — opnieuw fotograferen. Inhoud komt uit Brams eigen advertentietekst en vervangt de eerdere ""9 booster packs"": hij schrijft 15. Hij zette in die tekst ook het Pokemon Center-blok, maar dat blok gaat over Elite Trainer Boxen en dit is geen ETB en geen Pokemon Center-exclusive. Navragen voor het live gaat."
BC-CR-ETB,Chaos Rising Elite Trainer Box,chaos-rising,ETB,12,sealed,nee,60,64.95,1000,9 Mega Evolution — Chaos Rising booster packs|1 full-art foil promo van Fennekin|65 card sleeves|40 energiekaarten|Player's guide bij de set|6 damage counter dice|1 toernooitoegelaten munt-dobbelsteen|1 plastic munt|Verzamelbox met 6 tussenschotten|Code card voor Pokémon TCG Live,,
BC-CR-BBX,Chaos Rising Booster Box,chaos-rising,Booster Box,12,sealed,nee,190,194.95,2200,"36 booster packs Mega Evolution — Chaos Rising|Kans op Mega Floette ex, Mega Greninja ex, Mega Pyroar ex en Mega Dragalge ex",,Fotogroep 5. De vier Mega Evolution Pokémon ex komen van het achterpaneel (IMG_3714). Het aantal packs staat niet op de gefotografeerde zijden; 36 komt uit Brams lijst. IMG_3712 en IMG_3716 tonen de zwarte logokant en zijn niet uit te snijden — die kant opnieuw fotograferen op een lichte ondergrond.
BC-CR-BND,Chaos Rising Booster Bundle,chaos-rising,Booster Bundle,12,sealed,nee,30,34.95,400,6 booster packs,,
BC-CR-PCETB,Chaos Rising Pokémon Center Elite Trainer Box,chaos-rising,ETB,,sealed,nee,,,1100,11 booster packs Mega Evolution — Chaos Rising|1 exclusieve full-art foil promo van Fennekin met Pokémon Center-stempel|1 exclusieve full-art foil promo van Fennekin,"Dit is de Pokémon Center-uitvoering, met een tweede promo die de gewone Elite Trainer Box niet heeft.","Fotogroep 9 (IMG_3733-3740). Bram noemde die groep Pitch Black Elite Trainer Box, maar op de doos staat Chaos Rising met het Pokemon Center-logo — en hij heeft er inmiddels ook een advertentietekst voor gestuurd, dus het artikel bestaat. Inhoud komt uit die tekst. Aantal en prijs ontbreken nog: die regel in zijn voorraadlijst hoorde bij een ander artikel."
BC-MEV-GREN,Mega Greninja ex Premium Collection,chaos-rising,Premium Collection,4,sealed,nee,49.95,49.95,700,8 Pokémon TCG booster packs|1 foil promo van Mega Greninja ex|1 oversize lenticular promo van Mega Greninja ex|1 tech sticker van Mega Greninja,,"LET OP: inkoop en verkoop staan allebei op 49,95, dus nul marge. Bram schreef ook 4 packs; het achterpaneel (IMG_3711) zegt 8. Allebei nakijken."
BC-PB-ETB,Pitch Black Elite Trainer Box,pitch-black,ETB,1,sealed,nee,60,65,1000,9 booster packs Mega Evolution — Pitch Black|1 exclusieve full-art foil promo van Zarude,,"Bram schreef een eigen advertentietekst voor dit artikel, dus het bestaat. Zijn omschrijving in de voorraadlijst (""Promo met 9 Boosterpacks"") past hier ook op; alleen de fotogroep die hij eraan hing is die van de Chaos Rising Pokemon Center-ETB. Aantal 1 en inkoop 60 zijn dus waarschijnlijk wel van dit artikel, maar bevestigen. Foto's ontbreken."
BC-PB-PCETB,Pitch Black Pokémon Center Elite Trainer Box,pitch-black,ETB,10,sealed,nee,155,170,1100,11 Mega Evolution — Pitch Black booster packs|1 full-art foil promo van Zarude met Pokémon Center-logo|1 full-art foil promo van Zarude|65 card sleeves|40 energiekaarten|Player's guide bij de set|6 damage counter dice|1 toernooitoegelaten munt-dobbelsteen|1 plastic munt|Verzamelbox met 6 tussenschotten|Code card voor Pokémon TCG Live,"Dit is de Pokémon Center-uitvoering: elf packs en twee Zarude-promos, tegen negen packs en één promo bij de gewone Elite Trainer Box.","Fotogroep 10. Inhoud gelezen van het achterpaneel (IMG_3744). Op de doos staan Mega Zeraora ex, Mega Chandelure ex en Mega Excadrill ex als kaarten uit de set."
BC-DR-ETB,Destined Rivals Elite Trainer Box,destined-rivals,ETB,4,sealed,nee,110,119.95,1000,9 booster packs Scarlet & Violet — Destined Rivals|1 full-art foil promo van Team Rocket's Wobbuffet|65 card sleeves|45 energiekaarten|Player's guide bij de set|6 damage counter dice|1 toernooitoegelaten munt-dobbelsteen|2 plastic condition markers|Verzamelbox met tussenschotten|Code card voor Pokémon TCG Live,,"Fotogroep 1. Inhoud gelezen van het achterpaneel (IMG_3696); de promo komt uit Brams tekst. IMG_3698 is de voorkant en niet uit te snijden — zwarte doos op zwarte stof, ook opgehelderd bleef er 24 procent over. Die kant opnieuw fotograferen op een lichte ondergrond."
BC-AH-BND,Ascended Heroes Booster Bundle,ascended-heroes,Booster Bundle,144,sealed,nee,82,89.95,,6 booster packs Ascended Heroes,,"LET OP: 82 euro voor zes packs is hoog, en per bundel duurder dan in het display hieronder (110 per bundel). Een van de twee klopt niet, en het gaat om 144 stuks. Settekst is van Bram."
BC-AH-BNDD,Ascended Heroes Booster Bundle Display,ascended-heroes,Display,2,sealed,nee,1100,1140,,"10 booster bundles, in totaal 60 booster packs",,Fotogroep 13. Settekst is van Bram.
BC-AH-PCETB,Ascended Heroes Pokémon Center Elite Trainer Box,ascended-heroes,ETB,,sealed,nee,,,1100,11 booster packs Ascended Heroes|1 exclusieve full-art foil promo van N's Zekrom met Pokémon Center-stempel|1 exclusieve full-art foil promo van N's Zekrom,,"Bram schreef hier een advertentietekst voor, maar dit artikel staat niet op zijn voorraadlijst en er zijn geen foto's van. Aantal, inkoop en prijs ontbreken daarom. Inhoud komt uit zijn eigen tekst, niet van een achterpaneel."
BC-151-BNDD,Pokémon TCG Scarlet & Violet 151 Booster Bundle Display,sv-151,Display,13,sealed,nee,1700,1740,4000,"10 booster bundles, in totaal 60 booster packs",,"Fotogroep 11. Inkoop 1700 voor tien bundels is 170 per bundel, en dat is wat een losse 151-bundel kost — de prijs klopt met de inhoud. Settekst is van Bram."
